,Age,Gender,Tenure,Service_Internet,Service_Phone,Service_TV,Contract,PaymentMethod,MonthlyCharges,TotalCharges,StreamingMovies,StreamingMusic,OnlineSecurity,TechSupport,Churn
947,23.0,1,6,1,1,0,0,3,107.93,665.53,1,0,0,0,1
948,18.0,0,8,1,1,1,0,2,79.64,651.31,1,0,1,1,1
949,22.0,1,51,0,1,0,0,3,67.04,3418.82,1,0,1,1,0
950,44.0,1,11,1,0,1,1,2,111.32,1223.27,1,1,0,0,1
951,29.0,1,63,1,1,1,0,0,86.6,5458.15,0,0,1,1,0
952,43.0,0,57,1,1,0,1,2,33.3,1895.99,1,0,0,0,0
953,63.0,0,12,1,1,1,0,1,71.95,853.0,0,0,1,0,0
954,51.0,0,2,0,0,0,0,2,83.66,170.29,1,1,0,1,1
955,66.0,0,8,1,0,1,0,1,109.86,863.22,0,0,1,1,1
956,31.0,0,11,1,1,1,0,2,47.99,529.27,0,1,0,0,0
957,43.0,0,53,1,1,0,0,2,99.42,5259.31,1,0,1,1,0
958,62.0,0,10,1,1,1,0,2,99.98,998.99,0,1,1,1,1
959,44.0,1,8,1,1,1,2,2,32.8,264.31,1,1,0,1,0
960,26.0,1,36,1,1,1,1,2,21.72,778.39,0,0,0,0,0
961,43.0,1,14,1,0,0,0,0,78.14,1077.55,0,1,1,0,0
962,64.0,1,54,1,1,1,0,1,98.95,5331.42,1,0,1,1,0
963,39.0,0,21,1,1,0,0,0,75.44,1588.82,0,0,0,0,0
964,64.0,1,50,1,0,1,0,2,101.33,5060.93,0,0,1,1,0
965,47.0,1,39,1,1,0,1,1,82.23,3212.58,0,1,0,0,0
966,60.0,1,20,1,1,0,2,1,85.33,1706.7,0,0,0,1,0
967,65.0,1,7,0,1,1,1,3,22.82,157.76,1,0,0,1,0
968,34.0,0,9,1,1,1,0,3,28.86,263.22,0,1,1,0,0
969,43.0,0,1,0,0,0,2,2,92.5,85.75,0,0,0,1,1
970,53.0,0,26,1,1,0,0,1,96.28,2507.28,0,1,1,1,0
971,18.0,1,38,1,1,1,2,3,74.22,2816.16,0,1,1,0,0
972,25.0,0,38,1,1,0,0,1,79.02,3028.12,1,0,0,0,0
973,66.0,1,61,1,0,0,0,2,81.44,4956.5,1,0,0,0,0
974,52.0,0,44,0,1,0,0,2,30.5,1338.43,0,1,1,0,0
975,69.0,0,44,1,1,0,0,2,86.79,3815.59,0,1,1,0,0
976,32.0,0,62,1,0,1,1,2,67.85,4193.18,1,0,0,1,0
977,64.0,0,6,1,1,0,1,0,80.25,488.76,0,1,1,1,1
978,39.0,0,17,0,0,1,0,3,76.31,1292.98,0,1,0,1,0
979,31.0,1,51,1,1,1,1,2,96.3,4887.5,0,0,0,1,0
980,43.0,0,38,1,1,1,0,3,51.86,1977.63,0,1,0,0,0
981,45.0,1,24,1,1,1,0,2,57.35,1370.04,0,0,1,1,0
982,40.0,1,51,1,1,1,2,1,59.16,3016.11,0,1,0,0,0
983,31.0,1,10,1,1,1,2,1,96.25,969.27,0,0,0,1,1
984,41.0,1,21,1,1,1,0,2,63.11,1321.66,1,1,1,1,0
985,19.0,1,70,1,1,0,0,1,37.71,2635.97,1,0,0,0,0
986,62.0,0,57,1,1,1,0,2,118.3,6767.75,1,1,1,1,0
987,43.0,0,39,0,1,1,1,0,69.34,2682.72,1,0,1,1,0
988,31.0,0,33,1,0,1,2,1,30.92,1007.5,1,0,0,0,0
989,68.0,0,59,1,1,1,0,2,87.03,5123.85,0,0,0,0,0
990,24.0,1,18,0,0,1,2,2,93.92,1708.45,0,1,1,0,0
991,20.0,0,56,0,1,1,0,2,70.02,3914.67,1,0,0,0,0
992,64.0,0,57,1,1,0,0,2,84.65,4827.45,0,1,0,0,0
993,40.0,1,48,0,1,0,2,3,37.27,1784.22,1,0,0,1,0
994,63.0,1,42,1,0,0,0,1,56.79,2391.21,1,1,1,1,0
995,60.0,0,27,0,0,1,0,3,36.18,976.73,0,1,1,0,0
996,64.0,0,52,1,1,1,1,1,58.72,3055.97,1,1,1,1,0
997,62.0,1,42,0,0,1,0,1,76.28,3216.63,0,0,0,1,0
998,35.0,0,32,0,1,0,0,2,64.25,2060.4,1,0,1,1,0
999,55.0,0,26,1,1,1,2,3,79.32,2054.97,0,1,1,1,0
1000,52.0,0,25,1,0,1,1,0,70.18,1757.62,0,0,0,0,0
1001,68.0,0,23,0,0,1,2,3,51.78,1215.13,1,0,0,1,0
1002,32.0,1,57,1,0,1,0,2,34.34,1963.03,0,0,0,1,0
1003,42.0,1,52,1,1,0,0,1,45.27,2355.56,1,1,0,0,0
1004,54.0,1,31,1,1,0,2,0,40.07,1228.46,0,0,0,0,0
1005,45.0,0,64,1,1,0,0,3,90.74,5814.6,0,0,0,0,0
1006,27.0,0,71,1,1,1,0,0,102.0,7250.72,0,1,0,0,0
1007,56.0,0,33,1,0,0,0,2,92.04,3040.45,1,0,0,0,0
1008,34.0,0,2,1,1,0,0,3,84.37,169.88,1,1,0,0,1
1009,56.0,0,18,0,1,0,0,1,50.79,942.55,0,0,1,1,0
1010,39.0,1,47,1,1,1,2,1,91.1,4290.25,1,0,1,1,0
1011,43.0,0,33,1,1,1,2,2,80.51,2669.23,1,1,0,0,0
1012,61.0,0,35,1,1,0,0,3,24.69,864.82,0,1,0,1,0
1013,42.0,1,51,1,1,1,1,0,110.76,5647.44,0,1,0,1,0
1014,34.0,0,18,1,0,0,2,2,28.0,510.32,1,1,0,1,0
1015,30.0,1,30,1,1,0,1,2,70.27,2106.77,1,0,0,1,0
1016,37.0,1,44,1,0,1,0,3,71.31,3137.14,0,0,1,1,0
1017,42.0,1,53,1,1,1,0,0,103.7,5500.73,0,1,0,1,0
1018,21.0,1,10,1,1,1,0,2,111.31,1107.97,0,0,1,1,1
1019,27.0,1,52,1,1,0,0,2,113.97,5928.64,1,1,0,1,0
1020,20.0,0,49,1,0,0,0,2,76.97,3772.33,1,0,0,1,0
1021,58.0,1,11,0,1,1,0,2,87.9,976.57,1,1,0,0,1
1022,62.0,1,66,1,1,1,0,2,28.85,1897.99,0,0,0,0,0
1023,35.0,0,58,1,1,1,0,2,68.79,3969.82,1,1,1,0,0
1024,64.0,0,36,1,1,0,0,2,109.79,3949.33,0,1,0,0,0
1025,53.0,1,33,0,0,1,0,1,65.57,2167.78,0,0,1,0,0
1026,64.0,0,47,1,0,1,1,2,26.96,1276.76,0,1,0,0,0
1027,39.0,0,13,1,1,0,0,3,40.06,513.85,1,0,0,1,0
1028,51.0,1,40,1,1,1,2,1,62.95,2523.42,0,0,0,0,0
1029,64.0,1,68,1,0,1,2,0,43.75,2986.35,0,0,1,0,0
1030,25.0,0,42,1,1,1,1,0,59.23,2495.17,1,0,1,1,0
1031,57.0,1,19,0,1,1,1,3,53.3,1004.79,1,1,0,0,0
1032,66.0,1,19,0,1,1,2,2,51.89,979.08,0,0,0,0,0
1033,61.0,0,58,1,1,0,0,0,29.12,1693.31,1,0,0,1,0
1034,36.0,1,23,1,1,0,2,0,108.27,2506.46,1,1,0,0,0
1035,59.0,1,54,0,0,0,1,2,89.27,4820.72,1,0,0,1,0
1036,58.0,1,65,0,1,0,1,3,82.34,5350.45,1,0,0,1,0
1037,54.0,1,12,0,1,1,0,1,80.65,954.1,0,0,1,1,0
1038,23.0,1,24,1,0,1,0,2,59.65,1427.96,0,1,1,0,0
1039,69.0,0,34,0,1,1,1,3,102.33,3472.07,0,0,0,0,0
1040,43.0,0,53,1,1,0,1,3,113.0,5989.27,0,1,1,0,0
1041,51.0,1,8,1,1,0,1,1,20.56,149.35,0,0,1,0,0
1042,44.0,0,18,0,1,1,0,1,27.92,499.27,0,0,1,1,0
1043,23.0,1,57,1,0,1,0,0,69.59,4977.41,1,1,1,1,0
1044,54.0,1,5,0,0,1,0,2,43.61,227.45,0,0,0,0,0
1045,44.0,1,26,1,1,1,0,2,111.17,2881.83,1,0,1,0,0
1046,39.0,1,30,0,0,0,0,2,86.74,2596.48,1,0,1,0,0
1047,38.0,1,54,1,1,1,0,0,56.83,3071.64,1,1,0,1,0
1048,23.0,0,13,1,0,0,0,0,61.53,795.35,1,0,0,0,0
1049,23.0,0,29,0,1,1,0,1,89.09,2607.2,1,0,0,1,0
1050,65.0,1,3,0,1,0,0,3,34.1,111.61,1,0,1,1,0
1051,21.0,0,58,1,1,0,2,0,108.34,6283.89,0,1,1,0,0
1052,47.0,1,2,0,1,0,1,3,20.48,44.64,1,1,1,0,0
1053,28.0,0,28,1,1,1,1,2,117.89,3277.37,0,0,1,1,0
1054,47.0,1,2,1,1,1,0,3,36.76,858.4000000000001,0,1,1,0,0
1055,48.0,0,7,1,0,1,1,3,94.21,664.59,0,0,0,0,1
1056,41.0,1,26,1,1,1,0,1,23.99,623.01,1,1,0,1,0
1057,26.0,1,16,1,0,0,2,2,63.14,1015.9,0,0,0,0,0
1058,20.0,0,23,1,1,0,1,1,83.03,1916.57,1,0,0,1,0
1059,44.0,0,40,1,1,1,0,3,27.02,1076.64,0,0,0,0,0
1060,48.0,1,60,0,0,1,2,2,64.33,3863.6,0,1,0,0,0
1061,57.0,0,32,0,1,1,0,2,50.31,1620.41,1,0,0,1,0
1062,44.0,1,15,1,0,0,0,2,69.82,1051.85,1,0,0,0,0
1063,53.0,0,13,1,0,0,1,3,70.46,913.45,1,0,1,1,0
1064,41.0,0,5,1,1,1,0,2,98.52,495.57,0,1,1,1,1
1065,48.0,1,52,0,1,1,0,3,32.35,1696.02,0,0,0,0,0
1066,23.0,0,41,1,1,0,1,1,28.27,1166.91,0,0,1,1,0
1067,19.0,0,53,0,1,0,0,0,60.19,3178.44,1,1,0,1,0
1068,37.0,1,50,0,1,1,1,0,108.75,5443.37,1,0,0,0,0
1069,45.0,0,15,1,0,0,2,2,105.53,1587.49,1,1,0,0,0
1070,28.0,1,7,0,1,0,0,3,76.0,543.64,0,0,1,0,1
1071,21.0,1,40,1,1,1,0,2,108.88,4355.53,1,0,0,0,0
1072,32.0,1,28,1,1,1,0,1,100.53,2811.15,1,1,0,0,0
1073,23.0,1,32,1,0,1,0,2,47.79,1515.6,0,1,0,0,0
1074,66.0,1,15,1,1,1,0,3,37.01,548.2,0,0,1,1,0
1075,47.0,0,70,0,1,1,0,3,50.12,3520.48,0,1,0,0,0
1076,55.0,1,65,0,1,1,0,3,42.71,2778.13,1,1,0,1,0
1077,44.0,1,4,1,0,1,0,1,82.27,328.08,1,1,0,0,1
1078,19.0,0,11,1,0,1,1,2,78.49,876.35,0,1,0,0,1
1079,32.0,0,26,1,1,1,2,2,79.84,2086.74,0,1,0,0,0
1080,28.0,0,61,0,0,1,1,0,38.93,2367.37,1,1,1,0,0
1081,25.0,1,37,1,1,0,0,3,99.19,3682.04,1,1,0,0,0
1082,43.0,1,23,1,0,0,0,3,63.36,1440.69,1,0,1,0,0
1083,68.0,1,40,1,1,1,1,2,67.25,2694.6,0,0,0,0,0
1084,62.0,0,23,1,1,1,0,0,119.7,2756.51,1,1,1,0,0
1085,61.0,1,16,0,1,0,0,1,48.23,783.18,0,0,0,1,0
1086,22.0,0,61,0,1,1,2,0,59.41,3627.82,0,0,0,0,0
1087,23.0,1,68,1,0,0,0,1,87.65,5957.75,0,1,0,0,0
1088,43.0,0,31,1,1,1,0,3,108.04,3347.58,1,0,0,0,0
1089,21.0,1,53,0,0,0,2,2,32.68,1758.97,0,0,0,0,0
1090,36.0,1,25,1,1,1,2,2,93.5,2338.33,0,1,1,1,0
1091,37.0,1,44,0,1,0,0,0,111.83,4926.49,1,1,0,0,0
1092,50.0,0,12,0,1,0,0,3,62.29,727.27,0,0,0,1,0
1093,37.0,0,9,1,1,0,0,0,48.67,429.76,1,0,0,0,0
1094,66.0,1,12,0,0,0,1,0,87.77,1058.43,0,1,0,0,0
1095,29.0,1,69,1,1,1,0,1,44.61,3061.94,1,0,1,1,0
1096,64.0,1,54,1,1,1,0,3,58.43,3160.71,0,0,0,0,0
1097,18.0,0,54,0,1,1,2,3,109.69,5916.01,0,1,0,0,0
1098,43.0,1,28,0,1,1,0,2,79.03,2202.5,1,1,1,0,0
1099,31.0,1,56,1,0,1,2,3,29.5,1644.71,0,1,1,0,0
1100,55.0,1,69,0,1,0,2,1,52.97,3670.21,0,1,0,1,0
1101,54.0,1,58,1,0,0,0,2,82.73,4801.67,0,1,1,1,0
1102,28.0,0,42,1,1,1,1,1,68.15,2853.2,1,0,0,0,0
1103,53.0,0,38,1,1,1,0,1,86.03,3276.89,1,0,0,1,0
1104,30.0,1,68,1,0,1,1,3,96.14,6545.82,0,1,0,0,0
1105,60.0,1,53,0,1,0,1,2,68.06,3603.37,1,0,0,0,0
1106,20.0,0,33,0,1,1,0,2,118.7,3926.69,0,1,0,0,0
1107,50.0,0,71,0,1,0,1,2,111.47,2132.26,1,1,1,0,0
1108,23.0,1,56,1,1,0,2,2,25.99,1463.95,1,0,0,0,0
1109,67.0,0,51,1,0,0,0,3,46.64,2371.9,0,1,0,0,0
1110,27.0,0,43,0,1,1,0,2,50.05,2140.36,0,0,1,0,0
1111,22.0,1,15,0,0,1,0,0,38.43,559.52,0,0,0,1,0
1112,40.0,0,38,1,1,0,0,2,51.2,1939.04,0,0,0,1,0
1113,44.0,0,15,1,1,0,2,2,62.48,933.52,0,1,1,0,0
1114,61.0,1,5,1,1,0,2,3,25.16,122.94,0,1,0,0,0
1115,19.0,1,54,1,1,1,0,1,32.73,1766.95,0,1,0,1,0
1116,30.0,0,51,1,0,0,0,0,29.62,1527.95,0,0,0,0,0
1117,57.0,1,10,1,1,1,0,3,24.63,242.9,0,0,0,0,0
1118,19.0,0,12,1,1,0,0,0,68.15,817.31,1,0,0,0,0
1119,37.0,1,4,1,0,0,0,0,53.38,195.34,0,0,0,1,0
1120,18.0,0,18,1,0,0,0,1,113.54,2066.0,1,0,1,1,0
1121,54.0,1,36,0,1,0,0,2,30.28,1076.92,1,0,0,0,0
1122,26.0,0,25,0,0,1,2,1,112.6,2807.93,1,1,0,1,0
1123,34.0,0,36,1,1,0,1,2,28.65,1038.36,1,0,0,0,0
1124,26.0,0,67,1,1,0,1,1,81.92,5491.1,1,0,0,0,0
1125,28.0,1,9,1,1,1,0,2,44.77,419.36,0,1,1,1,0
1126,44.0,1,61,0,1,0,2,2,102.68,6270.68,0,0,1,0,0
1127,41.0,0,53,1,1,1,1,2,26.15,1385.14,1,0,0,0,0
1128,55.0,0,18,1,1,0,2,2,115.25,2084.94,0,0,0,1,0
1129,52.0,1,43,0,1,1,0,1,24.73,1075.0,0,0,0,1,0
1130,47.0,1,35,1,0,0,0,2,44.11,1537.25,0,1,0,0,0
1131,48.0,1,63,1,0,1,0,2,66.42,4194.09,1,1,1,0,0
1132,66.0,1,4,1,0,1,0,3,95.61,380.22,0,1,1,0,1
1133,22.0,1,41,1,1,1,1,2,115.11,4718.48,1,0,1,0,0
1134,44.0,1,45,1,1,1,2,3,62.8,2827.43,1,1,0,0,0
1135,67.0,0,50,1,1,0,0,3,95.73,4782.69,1,1,1,1,0
1136,31.0,1,28,1,1,1,0,0,92.72,2591.81,0,0,0,1,0
1137,28.0,0,42,1,1,0,1,1,77.12,3248.89,0,1,0,1,0
1138,26.0,1,69,1,1,0,0,0,89.09,6131.92,1,1,0,0,0
1139,51.0,1,1,1,0,0,1,2,23.81,13.19,1,1,0,1,0
1140,29.0,0,39,0,1,0,1,2,64.16,2508.99,0,1,0,0,0
1141,52.0,0,17,1,1,1,0,2,98.59,1675.3,0,1,0,0,0
1142,52.0,1,35,1,1,1,2,0,67.42,2369.62,1,1,0,0,0
1143,18.0,0,46,1,1,1,0,2,107.35,4941.68,0,1,0,1,0
1144,57.0,0,42,1,1,1,2,2,103.36,4327.78,0,1,0,0,0
1145,39.0,0,39,0,1,0,1,2,106.34,4147.89,1,1,0,0,0
1146,46.0,0,49,1,1,1,2,2,33.0,1622.35,0,0,0,0,0
1147,25.0,1,62,0,1,0,0,3,44.41,2755.76,1,1,0,0,0
1148,28.0,0,38,0,1,1,0,2,22.96,867.8,0,0,0,1,0
1149,58.0,1,23,1,0,0,0,2,118.28,2717.7,1,1,0,1,0
1150,54.0,1,22,0,0,1,0,2,43.61,953.82,1,1,0,0,0
1151,31.0,1,4,1,1,1,2,3,69.59,213.59,0,1,0,0,0
1152,47.0,1,49,1,1,0,0,1,47.49,2312.38,0,0,0,1,0
1153,52.0,0,59,1,0,1,2,2,23.98,1418.72,1,1,1,1,0
1154,38.0,0,68,1,1,0,0,2,46.13,3128.13,1,0,0,0,0
1155,54.0,1,71,0,1,1,0,0,29.82,2122.98,1,0,1,0,0
1156,22.0,1,2,0,1,1,2,0,59.43,112.91,0,1,1,1,0
1157,36.0,1,49,1,1,0,0,0,116.68,5704.19,0,0,0,0,0
1158,31.0,1,31,1,0,1,1,1,89.83,2780.65,0,1,1,0,0
1159,43.0,0,40,1,0,0,0,0,90.69,3648.54,0,1,1,0,0
1160,21.0,1,48,1,1,1,2,3,65.32,3134.4,0,1,1,0,0
1161,42.0,0,51,0,1,0,0,1,101.13,5164.09,0,1,1,0,0
1162,62.0,1,43,1,1,1,1,3,110.83,4767.38,0,1,0,1,0
1163,59.0,1,55,1,1,1,0,2,116.16,6374.75,0,0,1,0,0
1164,42.0,1,49,0,0,1,0,2,29.9,1479.59,0,1,0,0,0
1165,35.0,1,57,0,1,1,2,2,107.96,6151.24,1,0,1,0,0
1166,57.0,0,15,0,1,1,2,2,42.51,624.54,1,1,0,0,0
1167,25.0,0,27,0,0,0,0,2,59.73,1607.59,1,0,1,1,0
1168,56.0,0,68,1,0,0,0,2,54.55,3707.34,0,1,1,1,0
1169,57.0,1,64,0,0,1,0,1,87.51,5608.13,1,0,1,0,0
1170,31.0,1,30,0,1,1,0,1,79.79,2386.89,1,0,0,1,0
1171,49.0,0,36,0,1,1,1,3,30.91,1138.96,0,1,0,1,0
1172,68.0,0,67,1,1,1,0,1,98.28,6575.39,0,1,0,0,0
1173,55.0,1,49,1,1,1,0,2,63.96,3140.16,0,1,0,0,0
1174,50.0,1,55,0,0,1,1,1,20.22,1092.36,1,1,0,0,0
1175,40.0,0,56,1,1,0,0,3,61.45,3439.96,0,1,0,0,0
1176,32.0,1,68,0,0,0,1,2,71.63,4874.51,1,0,1,0,0
1177,50.0,1,44,1,1,1,2,2,26.89,1171.96,1,1,0,0,0
1178,42.0,0,31,0,0,1,0,2,35.11,1103.4,1,0,1,0,0
1179,34.0,1,58,1,1,0,1,2,119.36,6927.22,0,1,0,1,0
1180,50.0,0,53,1,0,1,0,2,107.12,5674.18,1,0,1,0,0
1181,64.0,1,23,1,1,0,0,2,33.33,770.83,0,1,0,0,0
1182,19.0,0,28,0,1,0,0,2,78.03,2178.91,0,1,0,0,0
1183,31.0,1,16,1,0,1,0,2,57.92,939.23,1,1,0,0,0
1184,57.0,0,37,1,1,1,0,1,74.37,2761.84,1,1,0,0,0
1185,44.0,0,21,0,1,0,0,2,67.05,1411.78,1,0,0,0,0
1186,44.0,0,17,1,0,0,2,2,24.81,427.89,0,0,1,0,0
1187,56.0,0,37,0,1,1,1,0,51.54,1892.21,1,0,0,1,0
1188,68.0,1,19,0,1,0,2,1,32.55,633.12,1,0,0,1,0
1189,23.0,1,30,0,1,1,0,2,68.9,2066.01,1,0,1,1,0
1190,23.0,0,45,1,0,1,0,1,110.73,4993.1,0,0,0,0,0
1191,20.0,1,18,1,1,0,0,2,119.55,2159.4,1,1,1,0,0
1192,24.0,1,62,1,1,0,0,2,114.43,7104.76,1,1,1,0,0
1193,68.0,1,36,0,1,0,0,2,118.57,4258.04,1,1,0,0,0
1194,25.0,1,52,1,1,0,1,0,21.52,1109.84,0,0,0,0,0
1195,59.0,1,19,0,1,1,0,2,92.94,1788.34,1,1,0,0,0
1196,44.0,0,44,1,1,1,0,0,47.29,2065.57,0,0,0,1,0
1197,44.0,0,7,1,1,1,0,2,106.56,734.94,1,1,1,0,1
1198,64.0,0,44,0,1,1,0,0,101.37,4460.71,0,0,0,0,0
1199,46.0,0,68,1,1,0,0,2,62.37,4241.61,0,0,1,1,0
1200,50.0,1,34,1,1,1,0,3,67.33,2283.82,0,1,0,1,0
1201,69.0,1,66,1,1,0,1,3,46.51,3075.82,1,0,1,0,0
1202,47.0,0,69,1,1,0,0,2,48.88,3381.74,1,0,1,0,0
1203,56.0,1,55,1,1,1,1,2,118.12,6496.42,1,0,0,0,0
1204,44.0,1,10,1,1,1,0,1,108.89,1086.22,0,1,0,0,1
1205,53.0,0,42,1,1,0,0,0,39.19,1645.76,0,0,0,0,0
1206,46.0,1,41,0,0,0,2,2,47.55,1944.58,1,1,1,1,0
1207,55.0,0,69,1,1,0,0,1,30.86,2112.36,0,0,0,0,0
1208,50.0,0,10,1,1,1,0,0,118.89,1191.91,1,0,0,1,1
1209,54.0,1,10,0,1,1,2,3,110.72,1114.86,0,0,0,0,1
1210,44.0,1,60,0,1,1,0,2,75.21,4511.06,1,1,1,1,0
1211,50.0,0,51,1,0,1,0,3,89.29,4531.14,1,0,1,0,0
1212,21.0,0,21,1,1,0,1,2,94.79,1984.87,1,1,0,0,0
1213,39.0,1,8,1,1,0,1,3,40.38,332.1,0,1,1,0,0
1214,19.0,0,65,0,1,1,0,3,113.47,7361.17,0,0,0,1,0
1215,27.0,0,30,1,1,1,0,0,72.67,2187.06,1,0,0,1,0
1216,22.0,0,49,0,1,1,2,2,29.25,1428.8,0,0,0,1,0
1217,27.0,1,9,1,1,0,0,1,59.71,537.2,1,0,0,1,0
1218,50.0,0,17,1,0,1,0,2,80.16,1355.86,1,1,0,0,0
1219,55.0,1,69,0,1,0,0,3,55.28,3802.96,1,1,1,0,0
1220,30.0,0,58,1,1,1,2,0,89.92,5229.7,0,1,1,0,0
1221,48.0,1,57,1,1,0,0,0,108.2,6175.56,0,1,0,0,0
1222,64.0,0,62,1,1,1,1,2,97.19,6032.23,0,1,1,1,0
1223,53.0,1,52,1,1,1,0,2,84.27,4391.13,0,1,1,0,0
1224,62.0,1,61,1,1,0,0,2,71.22,4349.45,1,1,1,0,0
1225,41.0,1,40,1,1,1,1,3,45.45,1827.44,0,0,0,0,0
1226,69.0,0,38,0,1,1,2,2,65.49,2481.98,1,0,0,0,0
1227,32.0,0,43,0,0,1,0,0,49.3,2133.68,0,0,0,0,0
1228,46.0,0,63,0,1,1,0,2,113.4,7157.08,1,1,1,0,0
1229,25.0,1,19,1,0,1,2,2,110.73,2107.67,0,1,1,0,0
1230,44.0,0,50,1,1,0,1,2,35.58,1776.12,0,1,1,0,0
1231,46.0,1,33,1,1,0,0,2,102.26,3362.34,1,1,1,0,0
1232,64.0,0,13,1,0,1,0,2,90.29,1176.06,0,0,1,1,0
1233,21.0,1,62,1,1,1,1,3,117.52,7303.09,1,1,0,0,0
1234,29.0,1,43,1,0,1,1,3,66.33,2840.58,1,0,0,1,0
1235,62.0,1,49,1,0,1,2,0,92.22,4528.96,0,0,1,0,0
1236,19.0,0,36,1,1,1,0,2,71.79,2579.73,0,1,0,0,0
1237,44.0,0,10,1,1,0,0,1,26.94,265.54,1,1,0,0,0
1238,48.0,0,6,0,1,1,1,2,24.68,136.33,1,0,0,0,0
1239,68.0,1,57,1,0,1,0,2,32.21,1828.45,0,0,1,0,0
1240,68.0,1,1,0,0,0,0,0,49.62,56.09,0,0,0,1,0
1241,53.0,0,71,0,1,0,0,1,45.91,3267.32,1,0,0,0,0
1242,53.0,0,58,1,1,0,0,2,92.83,5386.5,0,1,1,0,0
1243,43.0,0,21,1,1,0,0,0,91.59,1918.38,0,1,0,0,0
1244,60.0,1,56,1,1,0,1,1,117.14,6548.8,1,1,0,1,0
1245,44.0,1,20,1,1,1,1,0,51.04,1021.42,1,1,0,0,0
1246,22.0,1,54,1,1,1,0,2,113.85,6144.25,1,1,0,0,0
1247,37.0,1,25,0,1,1,0,1,81.29,2034.36,0,1,0,1,0
1248,28.0,1,28,1,1,0,0,0,69.53,1943.63,1,0,0,0,0
1249,27.0,0,5,1,0,0,1,0,86.78,430.94,0,0,0,1,1
1250,57.0,1,21,1,0,1,0,0,90.28,1897.47,1,1,1,0,0
1251,44.0,1,18,1,0,0,1,1,37.19,672.94,0,1,1,0,0
1252,23.0,1,47,1,0,0,0,3,95.17,4485.23,1,0,1,0,0
1253,25.0,1,70,0,1,0,0,2,92.52,6473.03,0,1,0,0,0
1254,40.0,1,57,1,1,0,1,3,119.75,6831.2,0,0,1,1,0
1255,64.0,0,19,1,1,0,0,2,111.19,2130.65,1,0,0,0,0
1256,43.0,1,65,1,0,1,0,2,88.47,5756.27,0,0,1,1,0
1257,63.0,1,3,0,0,1,0,3,91.24,285.36,1,1,0,0,1
1258,60.0,1,42,1,0,1,0,2,69.59,4806.99,0,0,0,1,0
1259,29.0,0,21,1,0,1,0,0,116.72,2443.92,0,1,1,0,0
1260,43.0,0,40,0,1,1,0,1,102.7,4106.41,0,1,0,0,0
1261,30.0,0,67,1,1,0,1,3,69.59,6481.05,0,1,0,0,0
1262,57.0,1,25,0,1,0,1,1,31.14,789.21,0,0,1,0,0
1263,35.0,0,55,1,1,0,1,2,103.03,5659.35,0,1,0,1,0
1264,42.0,1,52,1,1,1,0,1,45.32,2355.75,1,0,0,0,0
1265,50.0,1,44,1,1,1,1,1,76.38,3371.47,1,1,0,0,0
1266,64.0,0,56,1,1,1,0,2,60.54,3392.4,0,1,1,1,0
1267,57.0,1,55,0,1,1,0,2,54.56,3000.69,0,0,0,0,0
1268,60.0,1,70,1,1,1,0,2,51.03,3574.48,0,1,0,0,0
1269,44.0,1,66,1,1,1,2,1,105.54,6954.36,1,1,0,1,0
1270,61.0,0,19,0,1,1,0,1,96.91,1829.85,0,1,0,1,0
1271,53.0,1,7,1,1,0,2,2,72.34,490.5,0,1,0,1,1
1272,65.0,1,63,1,1,1,0,3,86.45,5448.42,1,1,1,1,0
1273,21.0,0,42,0,0,0,0,2,118.45,4984.09,1,0,1,1,0
1274,22.0,1,42,0,1,1,0,3,59.75,2517.16,1,0,1,0,0
1275,54.0,1,59,0,1,0,1,1,75.11,4442.93,1,0,0,1,0
1276,25.0,0,20,1,0,1,0,2,73.35,1481.54,0,0,1,1,0
1277,59.0,1,17,1,0,1,2,1,113.6,1932.65,0,0,1,1,0
1278,66.0,1,27,1,0,1,2,1,55.16,1488.67,1,0,1,0,0
1279,45.0,1,47,1,1,0,1,1,118.63,5590.37,0,0,0,0,0
1280,48.0,1,2,1,1,1,0,2,50.47,93.93,0,1,0,0,0
1281,26.0,1,63,1,1,1,2,2,30.89,1934.28,1,1,0,0,0
1282,68.0,0,62,0,1,0,2,2,39.14,2423.29,0,0,0,0,0
1283,46.0,0,19,1,0,1,0,0,62.62,1185.22,0,1,0,1,0
1284,31.0,0,17,1,1,1,1,0,84.98,1445.14,0,0,1,1,0
1285,57.0,0,69,1,1,1,0,2,71.68,4937.42,1,0,1,1,0
1286,58.0,1,39,1,1,0,0,0,57.63,2251.27,0,1,1,1,0
1287,39.0,1,71,1,1,1,0,2,76.2,5404.51,1,0,0,1,0
1288,28.0,1,39,1,1,1,0,2,103.88,4063.6,1,1,0,0,0
1289,40.0,1,36,0,0,1,0,3,103.89,3728.09,1,0,1,1,0
1290,18.0,1,40,1,0,1,0,2,92.62,3703.41,1,0,1,0,0
1291,63.0,0,45,0,0,0,1,2,115.24,5182.45,1,0,0,0,0
1292,54.0,0,4,1,1,1,2,2,79.02,318.39,1,1,1,0,1
1293,38.0,1,25,0,1,1,2,1,20.77,528.52,0,1,0,1,0
1294,43.0,1,69,0,1,1,0,0,49.09,3389.87,0,0,1,0,0
1295,63.0,1,30,1,1,1,1,3,52.82,1583.31,1,0,0,0,0
1296,53.0,0,68,1,0,1,0,0,74.73,2132.26,1,1,0,0,0
